

--------------------------------------
---

# Intro

| Script Line | Visual Guide |
| Except they just did — for two hours, for a movie about a video game. | `[B-ROLL]:` Kids sitting through A Minecraft Movie, fully engaged. — `[SEARCH TERMS]:` kids watching Minecraft Movie theater, children engaged cinema, Minecraft Movie full audience — `[SOURCES]:` [[2]](https://assets.ctfassets.net/4ivt4uy3jinr/5SFUHC2mVnp3vB2keFC2xZ/827fd658e3e680f64da5b0b963c4afc6/NRG_Gen_Alpha_Saves_the_Box_Office_Aug_2025.pdf) [[13]](https://en.wikipedia.org/wiki/A_Minecraft_Movie) |
| So their attention isn't what broke. What broke was their reason to care about Disney in particular — and that, Disney did to itself. | `[B-ROLL]:` The Disney corporate logo / sober company imagery. — `[SEARCH TERMS]:` Walt Disney Company logo, Disney corporate building, Disney studios sign exterior — `[SOURCES]:` [[1]](https://www.nrgmr.com/our-thinking/entertainment/gen-alpha-at-the-movies-from-pixels-to-popcorn/) |
| And the first thing Disney did to itself was build the very product it believed would save it. To make its movies feel more valuable, Disney made them infinite. | `[B-ROLL]:` Scrolling through an endless Disney+ content catalog. — `[SEARCH TERMS]:` Disney Plus interface scrolling catalog, Disney Plus home screen browse, streaming endless scroll thumbnails — `[SOURCES]:` [[17]](https://en.wikipedia.org/wiki/Disney%2B) |
| In November 2019, Disney launched Disney+. | `[ARTICLE SHOT]:` Disney Plus launched November 12 2019; Disney Plus launch 10 million sign-ups day one; Disney Plus launch announcement 2019 — `[B-ROLL]:` The Disney+ launch-day home screen (November 2019). — `[SEARCH TERMS]:` Disney Plus launch day home screen, Disney Plus 2019 interface, Disney Plus app launch — `[TEXT OVERLAY]:` November 12, 2019 — `[SOURCES]:` [[17]](https://en.wikipedia.org/wiki/Disney%2B) |
| The logic was sound: own the pipe to the customer, and stop renting it from Netflix. | `[B-ROLL]:` The Netflix app beside the Disney+ app on a smart TV. — `[SEARCH TERMS]:` Netflix Disney Plus apps smart TV, streaming app icons TV screen, Disney Plus Netflix side by side — `[SOURCES]:` [[17]](https://en.wikipedia.org/wiki/Disney%2B) |
| But to justify a monthly fee, that pipe needed a constant flood of new content. | `[B-ROLL]:` An overflowing grid of streaming thumbnails. — `[SEARCH TERMS]:` streaming thumbnails grid endless, content library scroll, Disney Plus catalog grid — `[SOURCES]:` [[17]](https://en.wikipedia.org/wiki/Disney%2B) |
| So Disney turned its crown jewels, Marvel and Pixar, into content factories. | `[B-ROLL]:` Marvel and Pixar logos with a rapid montage of their titles. — `[SEARCH TERMS]:` Marvel Studios logo, Pixar logo animation, Marvel Pixar Disney Plus titles montage — `[SOURCES]:` [[26]](https://www.mediaplaynews.com/bob-iger-disneys-fixation-on-streaming-episodic-content-diluted-brands/) |
| And by its 2022 fiscal year, the company was spending around 30 billion dollars a year to keep them full. | `[ARTICLE SHOT]:` Disney content spending 30 billion 2022; Disney content spend peak fiscal 2022 30 billion; Disney annual content budget 30 billion — `[B-ROLL]:` A money/finance graphic over a Disney content grid. — `[SEARCH TERMS]:` billions dollars finance graphic, content spending chart, money counter graphic — `[TEXT OVERLAY]:` ~$30 Billion/Year — `[SOURCES]:` [[18]](https://businesstats.com/content-spending-disney/) |
| Here's the irony that broke the model. For a century, a Disney release worked because it was rare — a new Pixar film was an event you planned a whole weekend around. | `[B-ROLL]:` Families lining up outside a cinema for a big premiere, vintage feel. — `[SEARCH TERMS]:` family movie premiere line vintage, crowd outside cinema premiere, kids excited movie opening — `[SOURCES]:` [[1]](https://www.nrgmr.com/our-thinking/entertainment/gen-alpha-at-the-movies-from-pixels-to-popcorn/) |
| By making that same magic infinite, cheap, and one tap away, Disney turned its most precious franchises into one more thumbnail you scroll past. | `[B-ROLL]:` A finger scrolling past Pixar/Marvel thumbnails on Disney+. — `[SEARCH TERMS]:` scrolling past Disney Plus thumbnails, finger swipe streaming catalog, Pixar Marvel thumbnails Disney Plus — `[SOURCES]:` [[17]](https://en.wikipedia.org/wiki/Disney%2B) |
| And to fill that dashboard fast, Disney made one move it would spend years trying to undo. During the pandemic, it took three of Pixar's best films and simply gave them away. | `[CONTEXT]:` "Teen Pixar films" se murad Soul, Luca aur Turning Red hain, jo pandemic mein seedha Disney+ par (theaters ke baghair) release ki gayin. — `[B-ROLL]:` Soul, Luca, and Turning Red tiles on the Disney+ home screen. — `[SEARCH TERMS]:` Soul Luca Turning Red Disney Plus tiles, Pixar movies Disney Plus home screen, Disney Plus Pixar collection — `[SOURCES]:` [[19]](https://deadline.com/2023/12/disney-pixar-soul-luca-turning-theatrical-release-1235652686/) |
| When theaters closed in 2020, Disney sent three major Pixar movies straight to Disney+ at no extra charge. | `[B-ROLL]:` Shuttered pandemic-era movie theaters. — `[SEARCH TERMS]:` closed movie theater pandemic 2020, empty cinema shuttered, closed theater sign COVID — `[SOURCES]:` [[19]](https://deadline.com/2023/12/disney-pixar-soul-luca-turning-theatrical-release-1235652686/) |
| Soul arrived for free in December 2020, Luca followed in 2021, and Turning Red in 2022. | `[IMAGE]:` A timeline graphic of Soul (2020), Luca (2021), and Turning Red (2022) Disney+ releases. — `[SEARCH TERMS]:` Soul Luca Turning Red posters, Pixar films timeline graphic, Disney Plus Pixar release dates — `[TEXT OVERLAY]:` 2020 · 2021 · 2022 — `[SOURCES]:` [[19]](https://deadline.com/2023/12/disney-pixar-soul-luca-turning-theatrical-release-1235652686/) [[20]](https://en.wikipedia.org/wiki/Turning_Red) |
| For families, the lesson was simple and permanent: don't pay for Pixar in a theater — just wait, and it lands on the app for nothing. | `[B-ROLL]:` A family watching a Pixar movie at home on the couch. — `[SEARCH TERMS]:` family watching movie couch home, kids Disney Plus living room TV, family streaming movie night — `[SOURCES]:` [[19]](https://deadline.com/2023/12/disney-pixar-soul-luca-turning-theatrical-release-1235652686/) |
| And Pixar's own chief later admitted those releases trained families to stay home. | `[CONTEXT]:` Pixar ke chief (Pete Docter) ne baad mein maana ke in free Disney+ releases ne families ko ghar par rehne ki aadat daal di. — `[ARTICLE SHOT]:` Pixar Pete Docter trained families stay home Disney Plus; Pete Docter Pixar streaming home viewing admission; Pixar chief pandemic releases families home — `[IMAGE]:` An editorial photo of Pixar's Pete Docter. — `[SEARCH TERMS]:` Pete Docter Pixar chief photo, Pete Docter interview, Pixar Pete Docter portrait — `[SOURCES]:` [SOURCE NEEDED] |
| And while Disney was teaching families its movies were free, those same kids were sprinting toward something it would never have greenlit. The breakout character of their entire generation turned out to be a singing head in a toilet. | `[CONTEXT]:` "Toilet mein gaata hua sar" se murad viral series "Skibidi Toilet" ka main character hai. — `[B-ROLL]:` Skibidi Toilet animation footage. — `[SEARCH TERMS]:` Skibidi Toilet animation, Skibidi Toilet character, Skibidi Toilet series footage — `[SOURCES]:` [[21]](https://en.wikipedia.org/wiki/Skibidi_Toilet) |
| In early 2023, a creator named Alexey Gerasimov posted a bizarre eleven-second video he'd built in a free piece of software. | `[CONTEXT]:` Alexey Gerasimov ("DaFuq!?Boom!") woh creator hai jisne Valve ke muft software Source Filmmaker se Skibidi Toilet ki pehli 11-second video (Feb 2023) banai. — `[ARTICLE SHOT]:` Skibidi Toilet Alexey Gerasimov Source Filmmaker 2023; Skibidi Toilet creator DaFuq Boom origin; Skibidi Toilet first episode February 2023 — `[IMAGE]:` The Source Filmmaker software / a Skibidi Toilet episode-one still. — `[SEARCH TERMS]:` Source Filmmaker software screenshot, Skibidi Toilet episode 1, DaFuq Boom Skibidi Toilet — `[SOURCES]:` [[21]](https://en.wikipedia.org/wiki/Skibidi_Toilet) |
| He called it Skibidi Toilet. | `[B-ROLL]:` The Skibidi Toilet title/logo. — `[SEARCH TERMS]:` Skibidi Toilet title logo, Skibidi Toilet thumbnail, Skibidi Toilet name card — `[SOURCES]:` [[21]](https://en.wikipedia.org/wiki/Skibidi_Toilet) |
| ``Insert Video: Skibidi Toilet — Episode 1 (DaFuq!?Boom!) \| 0:00 - 0:08**Transcript:** [A toilet rises from a tiled floor; a human head inside it sings, "Skibidi dop dop dop, yes yes"]`` | `[INSERT VIDEO]:` The specified Skibidi Toilet Episode 1 clip (0:00–0:08) by DaFuq!?Boom! — the original 11-second video that launched the franchise, shown to demonstrate its crude, free-software origins. — `[SEARCH TERMS]:` Skibidi Toilet episode 1 DaFuq Boom, Skibidi Toilet original first video, Skibidi dop dop dop episode one — `[SOURCES]:` [[21]](https://en.wikipedia.org/wiki/Skibidi_Toilet) |
| Within about two years, the series and its spin-off channels piled up more than 110 million subscribers and over 35 billion views — a franchise the size of a major studio's, grown from a meme. | `[ARTICLE SHOT]:` Skibidi Toilet 110 million subscribers 35 billion views; Skibidi Toilet franchise views subscribers; Skibidi Toilet network billions views — `[B-ROLL]:` A Skibidi Toilet montage across its many spin-off episodes. — `[SEARCH TERMS]:` Skibidi Toilet episodes montage, Skibidi Toilet spinoff compilation, Skibidi Toilet series footage — `[TEXT OVERLAY]:` 110M Subs · 35B Views — `[SOURCES]:` [[21]](https://en.wikipedia.org/wiki/Skibidi_Toilet) |
| And Hollywood noticed: Michael Bay is now attached to turn it into a movie. | `[CONTEXT]:` Blockbuster director Michael Bay ab Skibidi Toilet ki film/TV adaptation se juda hua hai (Invisible Narratives studio ke saath). — `[ARTICLE SHOT]:` Michael Bay Skibidi Toilet movie attached; Skibidi Toilet film Michael Bay Invisible Narratives; Michael Bay Skibidi Toilet adaptation — `[IMAGE]:` An editorial photo of director Michael Bay. — `[SEARCH TERMS]:` Michael Bay director photo, Michael Bay portrait, Michael Bay film event — `[SOURCES]:` [[22]](https://www.animationmagazine.net/2025/05/viral-hit-skibidi-toilet-prepares-to-infect-theaters-with-michael-bay-invisible-narratives/) |
| Disney's polished storybook heroes didn't lose to a better fairy tale. They lost to chaos any kid could remix. | `[B-ROLL]:` Polished Disney fairy-tale animation contrasted with chaotic meme footage. — `[SEARCH TERMS]:` classic Disney fairy tale animation, Disney princess animated scene, internet meme chaos montage — `[SOURCES]:` [[21]](https://en.wikipedia.org/wiki/Skibidi_Toilet) |
| So while the kids were busy with toilets and sandboxes, Disney decided to remind everyone what real prestige felt like. It put three of its Pixar masterpieces back on the big screen. | `[CONTEXT]:` Yahan January 2024 mein Soul, Luca aur Turning Red ki dobara theatrical release ka zikr hai. — `[B-ROLL]:` A cinema marquee re-advertising Pixar's Soul, Luca, and Turning Red. — `[SEARCH TERMS]:` Pixar re-release theater marquee, Soul Luca Turning Red cinema poster, movie theater marquee Pixar — `[SOURCES]:` [[23]](https://www.boxofficepro.com/disney-and-pixars-soul-turning-red-and-luca-are-heading-to-theaters-nationwide-in-2024/) |
| And the opening numbers were so small that a twenty-year-old cartoon would lap them. | `[B-ROLL]:` A near-empty movie auditorium. — `[SEARCH TERMS]:` empty movie theater auditorium, near empty cinema seats, sparse movie audience — `[SOURCES]:` [[24]](https://www.worldofreel.com/blog/2024/1/13/00xydyzpk100vcl4gx5z3c1jlahxl5) |
| Because in 2024, Disney ran the cleanest experiment imaginable on its own brand. It tried to prove its movie magic still commanded a premium. What it got back was a number that's almost hard to say out loud. | `[B-ROLL]:` An empty Pixar re-release screening. — `[SEARCH TERMS]:` empty cinema screening, deserted movie theater, lone viewer empty theater — `[SOURCES]:` [[24]](https://www.worldofreel.com/blog/2024/1/13/00xydyzpk100vcl4gx5z3c1jlahxl5) |
| In January 2024, Disney put Soul, Luca, and Turning Red back into theaters to rebuild their prestige. | `[IMAGE]:` A poster trio of the Soul, Luca, and Turning Red re-release. — `[SEARCH TERMS]:` Soul Luca Turning Red re-release poster, Pixar 2024 theatrical re-release, Pixar three films posters — `[TEXT OVERLAY]:` January 2024 — `[SOURCES]:` [[23]](https://www.boxofficepro.com/disney-and-pixars-soul-turning-red-and-luca-are-heading-to-theaters-nationwide-in-2024/) |
| Soul — an Oscar winner — opened to about 325,000 dollars across more than 1,350 theaters. | `[ARTICLE SHOT]:` Pixar Soul re-release 325000 opening Friday 1350 theaters; Soul re-release box office bombs 325k; World of Reel Soul re-release opening — `[IMAGE]:` The Soul poster with its opening-day figure. — `[SEARCH TERMS]:` Pixar Soul movie poster, Soul Pixar film key art, Soul Pixar Joe Gardner — `[TEXT OVERLAY]:` ~$325,000 Opening — `[SOURCES]:` [[24]](https://www.worldofreel.com/blog/2024/1/13/00xydyzpk100vcl4gx5z3c1jlahxl5) |
| That's under 100 dollars per screen, for the entire opening day. | `[IMAGE]:` A graphic showing the under-$100-per-screen figure. — `[SEARCH TERMS]:` per screen average box office graphic, low box office chart, dollars per screen infographic — `[TEXT OVERLAY]:` <$100 per Screen — `[SOURCES]:` [[24]](https://www.worldofreel.com/blog/2024/1/13/00xydyzpk100vcl4gx5z3c1jlahxl5) |
| Turning Red's whole re-release run brought in roughly 1.4 million. | `[ARTICLE SHOT]:` Turning Red re-release 1.4 million domestic total; Turning Red 2024 re-release box office; Turning Red theatrical re-release gross — `[IMAGE]:` The Turning Red poster with its re-release total. — `[SEARCH TERMS]:` Turning Red Pixar poster, Turning Red Mei Lee panda, Turning Red key art — `[TEXT OVERLAY]:` ~$1.4M Total — `[SOURCES]:` [[20]](https://en.wikipedia.org/wiki/Turning_Red) |
| Now here's the control group. | `[IMAGE]:` A side-by-side comparison title card setting up Pixar re-releases versus a competitor. — `[SEARCH TERMS]:` box office comparison title card, versus split screen graphic, film comparison lower third — `[SOURCES]:` [[24]](https://www.worldofreel.com/blog/2024/1/13/00xydyzpk100vcl4gx5z3c1jlahxl5) |
| That same spring, DreamWorks re-released Shrek 2 — a twenty-year-old movie, free on streaming everywhere — and it opened to about 1.35 million in a single weekend. | `[ARTICLE SHOT]:` Shrek 2 re-release 1.35 million opening weekend 2024; Shrek 2 20th anniversary re-release box office; Shrek 2 reissue opening weekend The Numbers — `[B-ROLL]:` Shrek 2 footage / poster and a theater marquee. — `[SEARCH TERMS]:` Shrek 2 movie footage, Shrek 2 poster, Shrek 2 re-release marquee — `[TEXT OVERLAY]:` Shrek 2: ~$1.35M Weekend — `[SOURCES]:` [[25]](https://www.the-numbers.com/movie/Shrek-2) |
| That's more than each Pixar film made in its entire run. | `[IMAGE]:` A bar-chart comparing Shrek 2's opening to the Pixar re-release totals. — `[SEARCH TERMS]:` box office comparison bar chart, film gross comparison graphic, versus box office chart — `[SOURCES]:` [[24]](https://www.worldofreel.com/blog/2024/1/13/00xydyzpk100vcl4gx5z3c1jlahxl5) [[25]](https://www.the-numbers.com/movie/Shrek-2) |
| So the audience hadn't stopped going to theaters. They'd just been taught that Disney, specifically, is something you wait to get for free. | `[B-ROLL]:` A family choosing to stream Disney at home instead of going out. — `[SEARCH TERMS]:` family streaming at home couch, Disney Plus home viewing, family movie night living room — `[SOURCES]:` [[19]](https://deadline.com/2023/12/disney-pixar-soul-luca-turning-theatrical-release-1235652686/) |
| And in 2025, Bob Iger finally said the quiet part out loud. | `[CONTEXT]:` Bob Iger Disney ke CEO hain; 2025 ki earnings call par unhon ne maana ke zyada content banane se quality gir gayi. — `[B-ROLL]:` Bob Iger at a Disney event / earnings-call setting. — `[SEARCH TERMS]:` Bob Iger Disney CEO speaking, Bob Iger interview 2025, Bob Iger Disney event — `[SOURCES]:` [[26]](https://www.mediaplaynews.com/bob-iger-disneys-fixation-on-streaming-episodic-content-diluted-brands/) |
| ``Insert Video: Bob Iger interview, 2025 \| clip**Transcript:** "…quantity does not necessarily beget quality… we lost a little focus by making too much."`` | `[INSERT VIDEO]:` The specified 2025 Bob Iger interview/earnings clip where he concedes "quantity does not necessarily beget quality… we lost a little focus by making too much" — Disney's CEO admitting the content flood cheapened its films. — `[SEARCH TERMS]:` Bob Iger quantity does not beget quality clip, Bob Iger too much content Disney 2025, Bob Iger Marvel lost focus interview — `[SOURCES]:` [[26]](https://www.mediaplaynews.com/bob-iger-disneys-fixation-on-streaming-episodic-content-diluted-brands/) |
| That's the man who runs Disney, conceding that the flood from the start of this story had cheapened the very films it was supposed to celebrate. | `[B-ROLL]:` Bob Iger at a podium, reflective tone. — `[SEARCH TERMS]:` Bob Iger podium Disney, Bob Iger press conference, Bob Iger Disney investor — `[SOURCES]:` [[26]](https://www.mediaplaynews.com/bob-iger-disneys-fixation-on-streaming-episodic-content-diluted-brands/) |
| But Disney isn't blind to any of this. It has two plans to win the next generation back. And both of them quietly admit the same thing — that Disney can't make these kids love it the old way anymore. | `[B-ROLL]:` Disney executives in a strategy setting / corporate boardroom. — `[SEARCH TERMS]:` Disney executives meeting, Disney corporate strategy, Disney boardroom — `[SOURCES]:` [[29]](https://thewaltdisneycompany.com/news/disney-and-epic-games-fortnite/) |

# SECTION 3: Building Castles for a Generation That Left

| Script Line | Visual Guide |
|---|---|
| Disney finally admitted, out loud, that it can't reach this generation through movies and theme parks alone. So it did something that would have been unthinkable a decade ago. | `[B-ROLL]:` Disney corporate imagery / Bob Iger speaking. — `[SEARCH TERMS]:` Disney corporate headquarters, Bob Iger speaking event, Disney company logo building — `[SOURCES]:` [Disney and Epic Games to Create Expansive and Open Games and Entertainment Universe Connected to Fortnite](https://thewaltdisneycompany.com/news/disney-and-epic-games-fortnite/) |
| It rented a corner of a video game it doesn't even own. | `[CONTEXT]:` Yahan Fortnite ki baat ho rahi hai, jisme Disney ne apni "universe" banane ke liye jagah li — magar game Disney ki milkiyat nahi. — `[B-ROLL]:` Fortnite gameplay footage. — `[SEARCH TERMS]:` Fortnite gameplay footage, Fortnite battle royale island, Fortnite match gameplay — `[SOURCES]:` [Disney invests $1.5bn in Fortnite maker Epic Games to create new 'universe' - The Guardian](https://www.theguardian.com/film/2024/feb/07/disney-fortnite-merger-epic-games-new-universe) |
| In February 2024, Disney put 1.5 billion dollars into Epic Games, the maker of Fortnite — its single biggest move ever into gaming. | `[ARTICLE SHOT]:` Disney 1.5 billion Epic Games stake February 2024; Disney Epic Games Fortnite investment 1.5 billion; CNBC Disney 1.5 billion Epic Games — `[B-ROLL]:` The Epic Games and Fortnite logos with gameplay. — `[SEARCH TERMS]:` Epic Games logo, Fortnite logo gameplay, Epic Games headquarters — `[TEXT OVERLAY]:` $1.5 Billion — `[SOURCES]:` [Disney to take $1.5 billion stake in Epic Games, work with Fortnite maker on new content](https://www.cnbc.com/2024/02/07/disney-to-take-1point5-billion-stake-in-epic-games-maker-of-fortnite.html) |
| The plan is to build a permanent Disney "universe" that lives inside Fortnite, where kids can hang out with Marvel and Star Wars characters in a world Disney doesn't control. | `[B-ROLL]:` Existing Marvel and Star Wars skins inside Fortnite. — `[SEARCH TERMS]:` Fortnite Marvel skins gameplay, Fortnite Star Wars crossover, Fortnite Disney character skins — `[SOURCES]:` [Disney to take $1.5 billion stake in Epic Games, work with Fortnite maker on new content](https://www.cnbc.com/2024/02/07/disney-to-take-1point5-billion-stake-in-epic-games-maker-of-fortnite.html) [Disney and Epic Games to Create Expansive and Open Games and Entertainment Universe Connected to Fortnite](https://thewaltdisneycompany.com/news/disney-and-epic-games-fortnite/) |
| And Bob Iger explained exactly why — and his reasoning is the whole thesis of this video, in his own words. | `[B-ROLL]:` Bob Iger on the earnings call / speaking to investors. — `[SEARCH TERMS]:` Bob Iger earnings call, Bob Iger investor presentation, Bob Iger Disney speaking — `[SOURCES]:` [Disney and Epic Games to Create Expansive and Open Games and Entertainment Universe Connected to Fortnite](https://thewaltdisneycompany.com/news/disney-and-epic-games-fortnite/) |
| ``Insert Video: Bob Iger, Q1 FY2024 earnings call \|`` Disney CEO Bob Iger: Disney entering into a strategic partnership with Epic Games | `[INSERT VIDEO]:` The specified Bob Iger Q1 FY2024 earnings-call clip announcing the strategic partnership with Epic Games — Iger explaining that Gen Z/Gen Alpha spend as much screen time on games as on TV and movies, so "we have to be there." — `[SEARCH TERMS]:` Bob Iger Q1 2024 earnings call Epic Games, Bob Iger Epic Games partnership announcement, Bob Iger gaming screen time Gen Alpha clip — `[SOURCES]:` [Disney and Epic Games to Create Expansive and Open Games and Entertainment Universe Connected to Fortnite](https://thewaltdisneycompany.com/news/disney-and-epic-games-fortnite/) |
| So sit with that for a second. The company that was childhood for a hundred years is now paying rent to reach children, inside a world somebody else built. | `[B-ROLL]:` Disney and Marvel character skins inside Fortnite gameplay. — `[SEARCH TERMS]:` Fortnite Disney Marvel skins, Fortnite character crossover gameplay, Fortnite third party IP skins — `[SOURCES]:` [Disney to take $1.5 billion stake in Epic Games, work with Fortnite maker on new content](https://www.cnbc.com/2024/02/07/disney-to-take-1point5-billion-stake-in-epic-games-maker-of-fortnite.html) |
| And that billion-and-a-half-dollar concession is the small bet. The enormous one is still aimed at the physical parks — and on paper, they look untouchable. | `[B-ROLL]:` Sweeping shots of a packed Disney theme park. — `[SEARCH TERMS]:` Disney theme park aerial packed, Disney World crowds wide shot, Magic Kingdom busy day — `[SOURCES]:` [The Walt Disney Company Reports Fourth Quarter and Full Year Earnings for Fiscal 2025](https://thewaltdisneycompany.com/press-releases/the-walt-disney-company-reports-fourth-quarter-and-full-year-earnings-for-fiscal-2025/) |
| Disney's theme parks are not a sympathy story. In its 2025 fiscal year, the Experiences division posted a record operating income of 10 billion dollars. | `[ARTICLE SHOT]:` Disney Experiences record 10 billion operating income FY2025; Disney parks record 10 billion 2025 earnings; Disney FY2025 Q4 8-K Experiences income — `[B-ROLL]:` A bustling, profitable Disney park. — `[SEARCH TERMS]:` Disney park crowds spending, Disney World busy shops, Disney park guests footage — `[TEXT OVERLAY]:` $10 Billion Record — `[SOURCES]:` [The Walt Disney Company Reports Fourth Quarter and Full Year Earnings for Fiscal 2025](https://thewaltdisneycompany.com/press-releases/the-walt-disney-company-reports-fourth-quarter-and-full-year-earnings-for-fiscal-2025/) |
| And Disney is pouring fuel on it — park spending jumped about 76% in a single year, to over 6.4 billion. | `[ARTICLE SHOT]:` Disney park spending jumped 75.7% 6.4 billion; Disney Experiences capital expenditure 6.429 billion 2025; BlogMickey Disney parks record spending — `[B-ROLL]:` Disney park construction and new-attraction build sites. — `[SEARCH TERMS]:` Disney park construction site, Disney new attraction build, theme park construction cranes — `[TEXT OVERLAY]:` +76% to $6.4B — `[SOURCES]:` [Turbocharged! Disney Parks Division Sets New Record for Spending](https://blogmickey.com/2025/11/turbocharged-disney-parks-division-sets-new-record-for-spending/) |
| So on paper, the foundation looks unbreakable. Which is exactly why the crack underneath it is so easy to miss. | `[B-ROLL]:` A grand Disney castle with a subtle sense of foreboding. — `[SEARCH TERMS]:` Disney castle wide shot, Cinderella Castle imposing, Disney park empty pathway — `[SOURCES]:` [The Walt Disney Company Reports Fourth Quarter and Full Year Earnings for Fiscal 2025](https://thewaltdisneycompany.com/press-releases/the-walt-disney-company-reports-fourth-quarter-and-full-year-earnings-for-fiscal-2025/) |
| Because a record profit can hide a very specific kind of decline — the kind you only see when you stop counting the money and start counting the people walking through the gates. | `[B-ROLL]:` Guests passing through Disney park entrance turnstiles. — `[SEARCH TERMS]:` Disney park entrance turnstiles, theme park gate guests entering, Disney World entry crowd — `[SOURCES]:` [Disney supercharged its parks. The booming division still has room to run](https://www.cnbc.com/2026/02/02/disney-parks-division-q1-results.html) |
| In the final quarter of its 2025 fiscal year, domestic attendance actually fell about 1%. | `[ARTICLE SHOT]:` Disney domestic attendance fell 1% Q4 fiscal 2025; Disney parks attendance decline 2025 CNBC; Disney domestic park attendance down — `[IMAGE]:` A graphic showing the ~1% attendance dip. — `[SEARCH TERMS]:` attendance decline chart graphic, downward trend arrow small, park attendance dip infographic — `[TEXT OVERLAY]:` Attendance −1% — `[SOURCES]:` [Disney supercharged its parks. The booming division still has room to run](https://www.cnbc.com/2026/02/02/disney-parks-division-q1-results.html) |
| The profit still rose, because the people who did come simply paid more. | `[B-ROLL]:` Guests spending on tickets, food, and merchandise in the parks. — `[SEARCH TERMS]:` Disney park guest buying merchandise, theme park food purchase, Disney ticket price sign — `[SOURCES]:` [Disney supercharged its parks. The booming division still has room to run](https://www.cnbc.com/2026/02/02/disney-parks-division-q1-results.html) |
| And just last month, Disney's own chief financial officer told investors the domestic parks are, in his words, "essentially full." | `[CONTEXT]:` Disney ke CFO (Hugh Johnston) ne May 2026 mein investors ko bataya ke domestic parks "essentially full" hain aur flat attendance ek jaan-boojh kar rakhi gayi capacity ki hadd hai. — `[ARTICLE SHOT]:` Disney CFO parks essentially full investors; Hugh Johnston Disney parks essentially full; BlogMickey Disney parks essentially full capacity — `[B-ROLL]:` A crowded, at-capacity Disney park walkway. — `[SEARCH TERMS]:` Disney park crowded walkway, theme park at capacity crowd, Disney World packed pathway — `[TEXT OVERLAY]:` "Essentially Full" — `[SOURCES]:` [Disney CFO: Parks Are Essentially Full, But Expanded Capacity Is Coming Soon](https://blogmickey.com/2026/05/disney-parks-are-essentially-full-expanded-capacity-is-coming-soon/) |
| So Disney isn't growing by bringing in new, young fans. It's growing by charging the fans it already has more — and you can only raise the price on a finite crowd for so long. | `[B-ROLL]:` Guests at a Disney ticket booth beside posted ticket prices. — `[SEARCH TERMS]:` Disney park ticket booth prices, Disney World ticket price board, theme park ticket window guests — `[SOURCES]:` [Disney supercharged its parks. The booming division still has room to run](https://www.cnbc.com/2026/02/02/disney-parks-division-q1-results.html) |
| Which exposes the flaw both of Disney's rescue plans share — and it has nothing to do with money, and everything to do with time. | `[B-ROLL]:` A time-lapse of slow Disney park construction progress. — `[SEARCH TERMS]:` theme park construction time-lapse, Disney build slow progress footage, construction cranes stationary lot — `[SOURCES]:` [Disney reveals more on huge Magic Kingdom expansion, one part of a $60 billion investment | CNN](https://www.cnn.com/2024/04/04/travel/disney-expansion-magic-kingdom-10-year-investment) |
| Because this is the trap Disney built for itself, and it's the whole reason the money can't fix it. Disney is spending a fortune to win back a childhood that will be over before the spending is even finished. | `[B-ROLL]:` A half-built Disney park lot beside kids who are visibly growing up. — `[SEARCH TERMS]:` half-built theme park lot, Disney construction unfinished land, kids growing up time-lapse — `[SOURCES]:` [Disney reveals more on huge Magic Kingdom expansion, one part of a $60 billion investment | CNN](https://www.cnn.com/2024/04/04/travel/disney-expansion-magic-kingdom-10-year-investment) |
| Take the parks first: a new land or a new cruise ship takes five to ten years to design and build. | `[ARTICLE SHOT]:` Disney new lands take five to ten years build; Disney park expansion 5 to 10 year timeline; CNN Disney expansion build timeline — `[B-ROLL]:` Disney park construction and a Disney cruise ship being built. — `[SEARCH TERMS]:` Disney cruise ship construction, theme park land construction, Disney expansion build site — `[TEXT OVERLAY]:` 5–10 Years — `[SOURCES]:` [Disney reveals more on huge Magic Kingdom expansion, one part of a $60 billion investment | CNN](https://www.cnn.com/2024/04/04/travel/disney-expansion-magic-kingdom-10-year-investment) |
| So the expansion Disney is pouring concrete for right now won't be fully open until the 2030s — and by then, today's Gen Alpha kids are grown adults, their childhood attachments already formed, or already gone. | `[B-ROLL]:` Time-lapse of Disney park construction cranes over a half-built lot. — `[SEARCH TERMS]:` Disney construction cranes time-lapse, theme park build progress footage, Disney half-built lot construction — `[SOURCES]:` [Disney reveals more on huge Magic Kingdom expansion, one part of a $60 billion investment | CNN](https://www.cnn.com/2024/04/04/travel/disney-expansion-magic-kingdom-10-year-investment) |
| Then look at the games, where Disney announced its Fortnite universe more than two years ago — and it still hasn't launched. | `[CONTEXT]:` Disney ne February 2024 mein apni Fortnite "universe" ka elaan kiya tha, magar mid-2026 tak yeh launch nahi hui thi. — `[ARTICLE SHOT]:` Disney Fortnite universe still not launched 2026; Disney Epic Games universe unlaunched development; Disney Fortnite universe delayed D'Amaro — `[B-ROLL]:` Fortnite gameplay with an "in development" feel. — `[SEARCH TERMS]:` Fortnite gameplay footage, Disney Fortnite universe concept, Fortnite creative mode world — `[SOURCES]:` [Disney's New CEO Josh D'Amaro Told Investors He Is 'Blown Away By The Possibilities' Of Fortnite - Gameranx](https://gameranx.com/updates/id/561836/article/disneys-new-ceo-josh-damaro-told-investors-he-is-blown-away-by-the-possibilities-of-fortnite/) |
